Local Context,Question,Answer,Perturbation?,Perturbation Target,Perturbation Category,Perturbation Effect
"Alice: did you leave the corn in the closet
Bob: no, I didn't
Alice: where did you see it
Bob: Chloe said there is a red pantry in the pantry
Alice: how about the green peppers
Bob: they are in the closet
Alice: did Chloe leave the green peppers there
Bob: no, she didn't
Alice: are some of them there
Bob: three green peppers are in the closet
Alice: did Isabella put the strawberries there
Bob: she put them in the closet or the pantry
Alice: where is the pineapple
Bob: it is in the hallway
Alice: are some of the cherries in the closet
Bob: they are all there
Alice: where can I find the pears
Bob: Isabella left them in the back_yard and journeyed to the back_yard
Alice: did she place the cherries in the hallway
Bob: no, she didn't","does the woman know where the strawberries 
are?",No,FALSE,None,-,-
"Alice: did you leave the corn in the closet
Bob: no, I didn't
Alice: where did you see it
Bob: Chloe said there is a red pantry in the pantry
Alice: how about the green peppers
Bob: they are in the closet
Alice: did Chloe leave the green peppers there
Bob: no, she didn't
Alice: are some of them there
Bob: three green peppers are in the closet
Alice: did Isabella put the cherries there
Bob: she put them in the closet or the pantry
Alice: where is the pineapple
Bob: it is in the hallway
Alice: are some of the strawberries in the closet
Bob: they are all there
Alice: where can I find the pears
Bob: Isabella left them in the back_yard and journeyed to the back_yard
Alice: did she place the cherries in the hallway
Bob: no, she didn't",does the woman know where the strawberries are?,Yes,TRUE,Context,Variable Swap ,Flip
"Alice: did you leave the corn in the closet
Bob: no, I didn't
Alice: where did you see it
Bob: Chloe said there is a red pantry in the pantry
Alice: how about the green peppers
Bob: they are in the closet
Alice: did Chloe leave the green peppers there
Bob: no, she didn't
Alice: are all of them there
Bob: three green peppers are in the closet
Alice: did Isabella put the strawberries there
Bob: she put them in the closet or the pantry
Alice: where is the pineapple
Bob: it is in the hallway
Alice: are some of the cherries in the closet
Bob: they are all there
Alice: where can I find the pears
Bob: Isabella left them in the back_yard and journeyed to the back_yard
Alice: did she place the cherries in the hallway
Bob: no, she didn't","does the woman know where the strawberries 
are?",No,TRUE,Context,Quantifier change,Invarianat
"Alice: did you leave the corn in the closet
Bob: no, I didn't
Alice: where did you see it
Bob: Chloe said there is a red pantry in the pantry
Alice: how about the green peppers
Bob: they are in the closet
Alice: did Chloe leave the green peppers there
Bob: no, she didn't
Alice: are some of them there
Bob: five green peppers are in the closet
Alice: did Isabella put the strawberries there
Bob: she put them in the closet or the pantry
Alice: where is the pineapple
Bob: it is in the hallway
Alice: are some of the cherries in the closet
Bob: they are all there
Alice: where can I find the pears
Bob: Isabella left them in the back_yard and journeyed to the back_yard
Alice: did she place the cherries in the hallway
Bob: no, she didn't","does the woman know where the strawberries 
are?",No,TRUE,Context,Quantity Change,Invarianat
"Alice: did you leave the corn in the closet
Bob: no, I didn't
Alice: where did you see it
Bob: Chloe said there is a red pantry in the pantry
Alice: how about the green peppers
Bob: they are in the closet
Alice: did Isabella leave the green peppers there
Bob: no, she didn't
Alice: are some of them there
Bob: three green peppers are in the closet
Alice: did Chloe put the strawberries there
Bob: she put them in the closet or the pantry
Alice: where is the pineapple
Bob: it is in the hallway
Alice: are some of the cherries in the closet
Bob: they are all there
Alice: where can I find the pears
Bob: Isabella left them in the back_yard and journeyed to the back_yard
Alice: did she place the cherries in the hallway
Bob: no, she didn't","does the woman know where the strawberries 
are?",No,TRUE,Context,Variable Swap,Invarianat
"Alice: did you leave the corn in the closet
Bob: no, I didn't
Alice: where did you see it
Bob: Chloe said there is a red pantry in the pantry
Alice: how about the green peppers
Bob: they are in the closet
Alice: did Chloe leave the green peppers there
Bob: no, she didn't
Alice: are some of them there
Bob: three green peppers are in the closet
Alice: did Isabella put the strawberries there
Bob: she put them in the closet or the pantry
Alice: where is the pineapple
Bob: it is in the hallway
Alice: are all of the cherries in the closet
Bob: they are all there
Alice: where can I find the pears
Bob: Isabella left them in the back_yard and journeyed to the back_yard
Alice: did she place the cherries in the hallway
Bob: no, she didn't","does the woman know where the strawberries 
are?",No,TRUE,Context,Quantifier change,Invarianat
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all of the plums in the staircase
Bob: Ethan said he saw some there",are some of the plums in the staircase?,Yes,FALSE,None,-,-
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are some of the plums in the staircase
Bob: Ethan said he saw some there",are some of the plums in the staircase?,Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Ethan said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all of the plums in the staircase
Bob: Jackson said he saw some there",are some of the plums in the staircase?,Yes,TRUE,Context,Variable Swap ,Invarianat
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are all of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all of the plums in the staircase
Bob: Ethan said he saw some there",are some of the plums in the staircase?,Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: some of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all of the plums in the staircase
Bob: Ethan said he saw some there",are some of the plums in the staircase?,Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all of the plums in the staircase
Bob: Ethan said he saw some there",are all of the plums in the staircase?,No,TRUE,Question,Quantifier change,Flip
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the plums there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all of the corns in the staircase
Bob: Ethan said he saw some there",are some of the plums in the staircase?,No,TRUE,Context,Variable Swap,Flip
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: five are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all of the plums in the staircase
Bob: Ethan said he saw some there",are some of the plums in the staircase?,Yes,TRUE,Context,Quantity Change,Invarianat
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all the plums in the staircase
Bob: Ethan said he saw some there",does the woman know how many are the apples?,Yes,FALSE ,None,-,-
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: three are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all the plums in the staircase
Bob: Ethan said he saw some there",does the woman know how many are the apples?,Yes,TRUE,Context,Quanity Change,Invarianat
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all the plums in the staircase
Bob: Ethan said he saw some there",does the woman know how many are the pears?,No,TRUE,Question,Variable Substitution,Flip
"Alice: did you see the apples
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the plums there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all the corns in the staircase
Bob: Ethan said he saw some there",does the woman know how many are the apples?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: did you see the corns
Bob: Ethan left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the apples there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Jackson said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all the plums in the staircase
Bob: Ethan said he saw some there",does the woman know how many are the apples?,No,TRUE,Context,Variable Swap,Flip
"Alice: did you see the apples
Bob: Jackson left them in the crawlspace and walked to the garden
Alice: are some of them in the crawlspace
Bob: four are in the crawlspace
Alice: are some of the corns there
Bob: all of them are in the crawlspace
Alice: did Ethan place them in the crawlspace
Bob: he placed them there and journeyed to the staircase
Alice: did you place the potatoes there
Bob: no, I didn't
Alice: did Jayden place them in the crawlspace
Bob: he placed them in the garden
Alice: where was he
Bob: I know he didn't went to the garden
Alice: where can I find the pear
Bob: Ethan said there is a red suitcase in the garden
Alice: where did you go
Bob: I walked to the garden
Alice: are all the plums in the staircase
Bob: Ethan said he saw some there",does the woman know how many are the apples?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: did Avery place the broccolis in the dining_room
Bob: she placed them there and walked to the study
Alice: where can I find the pineapple
Bob: it is in the study or the patio
Alice: where can I get the lettuce
Bob: the lettuce is in the dining_room or the pantry
Alice: what about the persimmons
Bob: Lily said there is a red bathtub in the patio
Alice: are some of them in the patio
Bob: Lily said she left three of the persimmons there
Alice: where were you
Bob: I went to the dining_room and the pantry
Alice: did you see the cabbage
Bob: Avery said she put the cabbage in the dining_room and went to the pantry
Alice: are some of the broccolis in the dining_room
Bob: yes, some of them are there
Alice: are some of the cherries in the patio
Bob: all of them are in the patio
Alice: are some of the pumpkins in the study
Bob: Avery said she put four there",is the woman sure about where the persimmons are?,Yes,FALSE,None,-,-
"Alice: did Avery place the broccolis in the dining_room
Bob: she placed them there and walked to the study
Alice: where can I find the pineapple
Bob: it is in the study or the patio
Alice: where can I get the lettuce
Bob: the lettuce is in the dining_room or the pantry
Alice: what about the persimmons
Bob: Lily said there is a red bathtub in the patio
Alice: are some of them in the patio
Bob: Lily said she left three of the persimmons there
Alice: where were you
Bob: I went to the dining_room and the pantry
Alice: did you see the cabbage
Bob: Avery said she put the cabbage in the dining_room and went to the pantry
Alice: are some of the broccolis in the dining_room
Bob: yes, some of them are there
Alice: are some of the cherries in the patio
Bob: all of them are in the patio
Alice: are some of the pumpkins in the study
Bob: Avery said she put four there",is the woman sure about where the broccolis are?,Yes,TRUE,Question,Variable Substitution,Invarianat
"Alice: did Avery place the broccolis in the dining_room
Bob: she placed them there and walked to the study
Alice: where can I find the pineapple
Bob: it is in the study or the patio
Alice: where can I get the lettuce
Bob: the lettuce is in the dining_room or the pantry
Alice: what about the persimmons
Bob: Lily said there is a red bathtub in the patio
Alice: are some of them in the patio
Bob: Lily said she left four of the persimmons there
Alice: where were you
Bob: I went to the dining_room and the pantry
Alice: did you see the cabbage
Bob: Avery said she put the cabbage in the dining_room and went to the pantry
Alice: are some of the broccolis in the dining_room
Bob: yes, some of them are there
Alice: are some of the cherries in the patio
Bob: all of them are in the patio
Alice: are some of the pumpkins in the study
Bob: Avery said she put four there",is the woman sure about where the persimmons are?,Yes,TRUE,Context,Quantity Change,Invarianat
"Alice: did Avery place the broccolis in the dining_room
Bob: she placed them there and walked to the study
Alice: where can I find the pineapple
Bob: it is in the study or the patio
Alice: where can I get the lettuce
Bob: the lettuce is in the dining_room or the patio
Alice: what about the persimmons
Bob: Lily said there is a red bathtub in the pantry
Alice: are some of them in the patio
Bob: Lily said she left three of the persimmons there
Alice: where were you
Bob: I went to the dining_room and the pantry
Alice: did you see the cabbage
Bob: Avery said she put the cabbage in the dining_room and went to the pantry
Alice: are some of the broccolis in the dining_room
Bob: yes, some of them are there
Alice: are some of the cherries in the patio
Bob: all of them are in the patio
Alice: are some of the pumpkins in the study
Bob: Avery said she put four there",is the woman sure about where the persimmons are?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: did Avery place the broccolis in the dining_room
Bob: she placed them there and walked to the study
Alice: where can I find the pineapple
Bob: it is in the study or the patio
Alice: where can I get the lettuce
Bob: the lettuce is in the dining_room or the pantry
Alice: what about the persimmons
Bob: Lily said there is a red bathtub in the patio
Alice: are all of them in the patio
Bob: Lily said she left three of the persimmons there
Alice: where were you
Bob: I went to the dining_room and the pantry
Alice: did you see the cabbage
Bob: Avery said she put the cabbage in the dining_room and went to the pantry
Alice: are some of the broccolis in the dining_room
Bob: yes, some of them are there
Alice: are some of the cherries in the patio
Bob: all of them are in the patio
Alice: are some of the pumpkins in the study
Bob: Avery said she put four there",is the woman sure about where the persimmons are?,Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: did Avery place the broccolis in the dining_room
Bob: she placed them there and walked to the study
Alice: where can I find the pineapple
Bob: it is in the study or the patio
Alice: where can I get the lettuce
Bob: the lettuce is in the dining_room or the pantry
Alice: what about the persimmons
Bob: Lily said there is a red bathtub in the patio
Alice: are some of them in the patio
Bob: Lily said she left three of the persimmons there
Alice: where were you
Bob: I went to the dining_room and the pantry
Alice: did you see the cabbage
Bob: Avery said she put the cabbage in the dining_room and went to the pantry
Alice: are some of the broccolis in the dining_room
Bob: yes, some of them are there
Alice: are some of the cherries in the patio
Bob: all of them are in the patio
Alice: are some of the pumpkins in the study
Bob: Avery said she put four there",is the woman sure about where the lettuce are?,Yes,TRUE,Question,Variable Substitution ,Flip
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are all of them in the hallway
Bob: some are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Benjamin said there is a blue envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,FALSE,None,-,-
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are all of them in the hallway
Bob: some are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Oliver said there is a blue envelope in the office
Alice: what about the oranges
Bob: Benjamin said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are all of them in the hallway
Bob: some are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the plums
Bob: Benjamin said there is a blue envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the pears
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are all of them in the hallway
Bob: some are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Benjamin said there is a blue envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the eggplants the front_yard?,Yes,TRUE,Question,Variable Substitution,Invarianat
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are all of them in the hallway
Bob: some are not in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Benjamin said there is a blue envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,TRUE,Context,Negation,Invarianat
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are some of them in the hallway
Bob: some are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Benjamin said there is a blue envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the front_yard
Alice: are all of them in the hallway
Bob: some are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the office
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Benjamin said there is a blue envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are all of them in the hallway
Bob: all are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Benjamin said there is a blue envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a red envelope in the front_yard
Alice: did Amelia put them there
Bob: no
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: did Amelia put the radishes in the master_bedroom
Bob: she put the radishes and the peas there
Alice: did you see the strawberries
Bob: Amelia left them in the hallway and travelled to the office
Alice: are all of them in the hallway
Bob: some are in the hallway
Alice: did Oliver put the eggplants there
Bob: he put them there and travelled to the front_yard
Alice: were you there
Bob: I was not there
Alice: how many peas are in the master_bedroom
Bob: there are two or three
Alice: where are the pears
Bob: Benjamin said there is a red envelope in the office
Alice: what about the oranges
Bob: Oliver said there is a blue envelope in the front_yard
Alice: did Amelia put them there
Bob: No
Alice: where can I get the plum
Bob: I'm not sure",is the woman sure about who put the oranges the front_yard?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: are all the beans in the patio
Bob: some are in the patio
Alice: did Owen put them in the dining_room
Bob: he put them in the patio
Alice: did you leave the persimmons there
Bob: I left them in the lounge
Alice: did you go to the patio
Bob: I returned to the lounge
Alice: how many carrots are in the dining_room
Bob: four or five
Alice: are some of the cherries there
Bob: five cherries are in the dining_room
Alice: where are the cabbages
Bob: the cabbages are in the back_yard
Alice: did Owen place the cabbages there
Bob: he placed them there and walked to the patio
Alice: how many
Bob: there are at least one there
Alice: did Owen put the eggplants there
Bob: he put them in the lounge or the back_yard",does the woman know where the cherries are?,Yes,FALSE ,None,-,-
"Alice: are all the beans in the patio
Bob: some are in the patio
Alice: did Owen put them in the dining_room
Bob: he put them in the patio
Alice: did you leave the persimmons there
Bob: I left them in the lounge
Alice: did you go to the patio
Bob: I returned to the lounge
Alice: how many carrots are in the dining_room
Bob: four or five
Alice: are some of the cherries there
Bob: four cherries are in the dining_room
Alice: where are the cabbages
Bob: the cabbages are in the back_yard
Alice: did Owen place the cabbages there
Bob: he placed them there and walked to the patio
Alice: how many
Bob: there are at least one there
Alice: did Owen put the eggplants there
Bob: he put them in the lounge or the back_yard",does the woman know where the cherries are?,Yes,TRUE,Context,Quantity Change,Invarianat
"Alice: are all the beans in the patio
Bob: some are in the patio
Alice: did Owen put them in the dining_room
Bob: he put them in the patio
Alice: did you leave the persimmons there
Bob: I left them in the lounge
Alice: did you go to the patio
Bob: I returned to the lounge
Alice: how many carrots are in the dining_room
Bob: four or five
Alice: are some of the cherries there
Bob: five cherries are in the back_yard
Alice: where are the cabbages
Bob: the cabbages are in the dining_room
Alice: did Owen place the cabbages there
Bob: he placed them there and walked to the patio
Alice: how many
Bob: there are at least one there
Alice: did Owen put the eggplants there
Bob: he put them in the lounge or the back_yard",does the woman know where the cherries are?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: are all the beans in the patio
Bob: some are in the patio
Alice: did Owen put them in the dining_room
Bob: he put them in the patio
Alice: did you leave the persimmons there
Bob: I left them in the lounge
Alice: did you go to the patio
Bob: I returned to the lounge
Alice: how many carrots are in the dining_room
Bob: four or five
Alice: are some of the cherries there
Bob: five cherries are in the dining_room
Alice: where are the cabbages
Bob: the cabbages are in the back_yard
Alice: did Owen place the cabbages there
Bob: he placed them there and walked to the patio
Alice: how many
Bob: there are at least one there
Alice: did Owen put the eggplants there
Bob: he put them in the lounge or the back_yard",does the woman know where the carrots are?,Yes,TRUE,Question,Variable Substitution,Invarianat
"Alice: are all the beans in the patio
Bob: some are in the patio
Alice: did Owen put them in the dining_room
Bob: he put them in the patio
Alice: did you leave the persimmons there
Bob: I left them in the lounge
Alice: did you go to the patio
Bob: I returned to the lounge
Alice: how many carrots are in the dining_room
Bob: four or five
Alice: are some of the cherries there
Bob: five cherries are in the dining_room
Alice: where are the cabbages
Bob: the cabbages are not in the back_yard
Alice: did Owen place the cabbages there
Bob: he placed them there and walked to the patio
Alice: how many
Bob: there are at least one there
Alice: did Owen put the eggplants there
Bob: he put them in the lounge or the back_yard",does the woman know where the cherries are?,Yes,TRUE,Context,Negation,Invarianat
"Alice: are all the beans in the patio
Bob: some are in the patio
Alice: did Owen put them in the dining_room
Bob: he put them in the patio
Alice: did you leave the persimmons there
Bob: I left them in the lounge
Alice: did you go to the patio
Bob: I returned to the lounge
Alice: how many carrots are in the dining_room
Bob: four or five
Alice: are some of the cherries there
Bob: five cherries are in the dining_room
Alice: where are the cabbages
Bob: the cabbages are in the back_yard
Alice: did Owen place the cabbages there
Bob: he placed them there and walked to the patio
Alice: how many
Bob: there are at least one there
Alice: did Owen put the eggplants there
Bob: he put them in the lounge or the back_yard",does the woman know where the eggplants are?,No,TRUE,Question,Variable Substitution ,Flip
